      loan_id,Age     ,   Gender,    no_of_dependents,Number_of_Existing_Loans   ,Existing_Customer   , Education,    Employment, income, loan_amount,    loan_term, cibil_score     , residential_assets_value    ,LTV_Ratio, loan_status        
1,31,Male,2,0,No, Graduate        ,Salaried,36000,109373,72,778,240000,90.94,     Approved
2,25,Male               ,0,3,No, Non Graduate,Salaried,50000,150000,36,417,270000,91.14, Rejected
3,62,Male               ,3,2,Yes, Graduate        ,Salaried,178000,69099,18,506,710000,40, Rejected
4,69,      Female,3,2,Yes, Graduate        ,Self-Employed,46000,150000,48,467,950000,87.39, Rejected
5,52,Male               ,5,3,No,          Non Graduate,Salaried,132000,150000,48,382,1000000,66.16, Rejected
6,64,      Female,0,2,Yes, Graduate        ,Self-Employed,127000,108702,48,319,680000,82.33, Rejected
7,29,Male               ,5,2,No, Graduate        ,Self-Employed,15000,26819,60,678,225000,95,     Approved
8,30,Male               ,2,3,No, Graduate        ,Salaried,82000,126550,18,382,218000,93.63, Rejected
9,52,Male               ,0,2,Yes, Graduate        ,Freelancer,119000,150000,72,782,202000,75.64,     Approved
10,39,Male               ,5,2,No,          Non Graduate,Salaried,101000,113257,18,388,223000,68.72, Rejected
11,69,Male               ,4,1,No, Graduate,Self-Employed,166000,103472,48,547,193000,95,Rejected
12,64,Male               ,2,1,Yes,          Non Graduate,Freelancer,167000,150000,48,538,238000,41.93, Rejected
13,68,      Female,3,3,No,          Non Graduate,Freelancer,88000,150000,60,311,244000,54.7, Rejected
14,19,      Female,2,2,No, Graduate,Student,25000,30156,48,679,143000,64.83,     Approved
15,59,      Female,1,2,,          Non Graduate,Salaried,60000,121454,36,469,255000,95, Rejected
16,26,      Female,5,3,,          Non Graduate,Salaried,53000,137722,72,794,204000,95,     Approved
17,57,Male               ,2,1,Yes, Graduate,Self-Employed,36000,88563,36,663,241000,59.15,     Approved
18,42,Male               ,4,3,No,          Non Graduate,Self-Employed,115000,107712,36,780,147000,64.53,     Approved
19,34,      Female,2,2,No, Graduate        ,Salaried,44000,95976,24,736,259000,91.2,     Approved
20,20,      Female,5,3,Yes, Graduate        ,,57000,150000,48,652,196000,40,     Approved
21,69,      Female,2,3,No, Graduate        ,,149000,113045,36,315,195000,62.69, Rejected
22,56,      Female,4,1,Yes, Graduate        ,Salaried,147000,120217,36,530,268000,82.57, Rejected
23,37,Male               ,4,0,No, Graduate        ,Self-Employed,26000,116196,24,311,146000,56.34, Rejected
24,68,      Female,0,1,No,          Non Graduate,Salaried,0,40661,36,551,143000,70.85,     Approved
25,52,      Female,0,2,No,,Salaried,130000,145578,60,324,242000,79.85, Rejected
26,61,      Female,5,0,No,          Non Graduate,Unemployed,41000,23296,24,514,223000,58.69, Rejected
27,39,Male               ,4,3,No, Graduate        ,Salaried,34000,150000,60,696,219000,75.06,     Approved
28,54,Male               ,4,2,No,,Self-Employed,116000,150000,24,662,220000,57.34,     Approved
29,52,      Female,5,1,Yes,          Non Graduate,Unemployed,87000,141231,72,336,144000,94.62, Rejected
30,25,      Female,3,2,No,          Non Graduate,Self-Employed,37000,36315,48,850,255000,95,     Approved
31,24,Male               ,2,0,No,          Non Graduate,Self-Employed,15000,10764,18,313,242000,78.17, Rejected
32,57,Female,2,3,Yes,,Unemployed,130000,56891,48,363,148000,40.48, Rejected
33,23,Female,1,2,No,          Non Graduate,Freelancer,32000,67958,36,436,200000,77.54, Rejected
34,53,Male               ,5,2,No,          Non Graduate,Unemployed,33000,99179,60,830,228000,53.84,     Approved
35,40,Male               ,3,1,No, Graduate        ,Self-Employed,20000,67334,48,612,144000,50.1,     Approved
36,67,Male               ,2,1,Yes, Graduate        ,Salaried,0,150000,24,691,232000,74.23,     Approved
37,70,Male               ,3,0,No,          Non Graduate,Salaried,0,80718,60,636,256000,87.41,     Approved
38,63,Female,5,0,No, Graduate        ,Salaried,72000,103424,18,348,245000,87.88, Rejected
39,69,Male               ,5,1,No, Graduate        ,,0,150000,12,830,144000,52.49,     Approved
40,28,Female,3,3,No,          Non Graduate,Salaried,65000,58331,72,352,196000,67.34, Rejected
41,63,Female,1,1,No, Graduate        ,Salaried,0,50785,36,712,193000,53.85,     Approved
42,18,Male               ,2,0,No,          Non Graduate,Unemployed,16000,12592,24,822,142000,94.8,     Approved
43,26,Female,3,2,No, Graduate        ,Unemployed,48000,127696,48,540,219000,70.53, Rejected
44,34,Female,2,3,No, Graduate        ,Salaried,77000,93422,18,342,229000,95, Rejected
45,60,Female,5,0,Yes, Graduate        ,Salaried,0,119937,72,787,147000,79.28,     Approved
46,21,Female,4,2,Yes, Graduate        ,Freelancer,44000,37592,60,331,146000,85.75, Rejected
47,39,Male               ,3,1,No,          Non Graduate,Self-Employed,110000,150000,18,679,241000,67.84,     Approved
48,56,Male               ,1,0,Yes, Graduate        ,Salaried,92000,147137,60,677,229000,58.8,     Approved
49,43,Female,3,3,Yes,          Non Graduate,Salaried,90000,106491,48,634,215000,56.7,     Approved
50,67,Male               ,1,1,No,          Non Graduate,Freelancer,0,150000,48,662,238000,87.33,     Approved
51,64,Female,4,3,No, Graduate        ,Salaried,127000,150000,60,502,217000,95, Rejected
52,21,Female,2,1,No, Graduate        ,Self-Employed,46000,85243,60,435,215000,84.77, Rejected
53,47,Male               ,5,1,Yes,          Non Graduate,Self-Employed,28000,52918,48,689,233000,82.09,     Approved
54,68,Male               ,1,2,No,          Non Graduate,Salaried,0,93269,36,657,208000,74.12,     Approved
55,54,Female,2,2,Yes, Graduate        ,Salaried,134000,133699,48,590,230000,45.8,     Approved
56,28,Female,5,1,No,          Non Graduate,,50000,150000,48,818,204000,86.83,     Approved
57,55,Female,2,1,No,          Non Graduate,Salaried,92000,115015,12,431,211000,95, Rejected
58,65,Female,5,2,Yes, Graduate        ,Salaried,0,150000,48,841,193000,75.27,     Approved
59,18,Male,1,0,No, Graduate        ,Salaried,24000,45280,72,421,234000,84.01, Rejected
60,23,Male,4,3,No,          Non Graduate,Self-Employed,63000,142381,72,797,233000,75,     Approved
61,20,Male,2,2,Yes,          Non Graduate,Salaried,58000,82463,24,478,239000,83.24, Rejected
62,36,Male,3,0,Yes, Non Graduate          ,Salaried,29000,76523,12,669,142000,53.64,     Approved
63,28,Female,5,0,Yes, Non Graduate,Salaried,50000,52359,36,365,194000,82.03, Rejected
64,59,Female,3,1,No, Non Graduate          ,Self-Employed,74000,150000,36,586,142000,88.37,Rejected
65,54,Female,4,3,Yes, Graduate        ,Salaried,51000,150000,12,784,221000,57.43,     Approved
66,30,Female,1,2,No, Graduate        ,Freelancer,51000,150000,36,364,240000,69.53, Rejected
67,61,Female,3,0,Yes, Non Graduate          ,Salaried,0,88441,12,715,146000,47.65,     Approved
68,27,Female,0,0,Yes, Non Graduate          ,Self-Employed,38000,93542,24,693,206000,72.75,     Approved
69,24,Female,4,0,Yes, Graduate        ,Self-Employed,37000,99217,48,777,254000,59.63,     Approved
70,50,Female,0,1,No, Graduate        ,Salaried,90000,88017,18,312,196000,52.22, Rejected
71,39,Female,4,0,No, Non Graduate          ,Self-Employed,88000,109483,12,340,283000,92.62, Rejected
72,38,Male,5,0,No, Graduate        ,Self-Employed,72000,44649,24,386,146000,95,Rejected
73,20,Female,5,2,No, Non Graduate          ,Unemployed,48000,150000,18,418,148000,60.77, Rejected
74,18,Male,3,0,No, Non Graduate          ,Self-Employed,48000,57712,48,735,145000,90.7,     Approved
75,24,Female,2,1,No, Non Graduate          ,Self-Employed,47000,131907,48,494,194000,58.52, Rejected
76,45,Female,2,3,Yes, Non Graduate          ,,79000,62855,48,671,249000,42.8,     Approved
77,23,Male,4,2,No, Graduate        ,Freelancer,56000,98495,36,697,263000,90.28,     Approved
78,33,Female,0,0,No, Graduate        ,Salaried,46000,148317,18,801,238000,73.67,     Approved
79,68,Male,2,0,Yes, Non Graduate          ,Salaried,0,130072,18,576,230000,65.58,     Approved
80,53,Male,0,2,No, Non Graduate          ,Self-Employed,118000,150000,24,639,229000,95,     Approved
81,34,Female,4,3,No, Graduate        ,Salaried,33000,141450,48,470,146000,82.93, Rejected
82,39,Female,0,3,Yes, Non Graduate          ,Salaried,112000,150000,36,826,224000,63.39,     Approved
83,37,Male,2,3,No, Non Graduate          ,Student,94000,104366,72,363,144000,52.9, Rejected
84,37,Female,3,3,No, Graduate        ,Self-Employed,67000,122025,72,613,276000,95,     Approved
85,41,Male,3,1,Yes, Non Graduate          ,Salaried,103000,102667,36,713,214000,79.34,     Approved
86,58,Female,2,1,No, Graduate        ,Salaried,162000,150000,72,439,287000,95, Rejected
